table_column,table_name
pbp_c_oon_copay_iha_bgnd_i1,PBPC
pbp_c_oon_copay_iha_endd_i1,PBPC
pbp_c_oon_copay_iha_amt_i2,PBPC
pbp_c_oon_copay_iha_bgnd_i2,PBPC
pbp_c_oon_copay_iha_endd_i2,PBPC
pbp_c_oon_copay_iha_amt_i3,PBPC
pbp_c_oon_copay_iha_bgnd_i3,PBPC
pbp_c_oon_copay_iha_endd_i3,PBPC
pbp_c_pos_yn,PBPC
pbp_c_pos_mc_bendesc_subcats,PBPC
pbp_c_pos_coins_ihs_yn,PBPC
pbp_c_pos_coins_iha_mc_cost_yn,PBPC
pbp_c_pos_coins_iha_intrvl_num,PBPC
pbp_c_pos_coins_iha_pct,PBPC
pbp_c_pos_coins_iha_pct_i1,PBPC
pbp_c_pos_coins_iha_bgnd_i1,PBPC
pbp_c_pos_coins_iha_endd_i1,PBPC
pbp_c_pos_coins_iha_pct_i2,PBPC
pbp_c_pos_coins_iha_bgnd_i2,PBPC
pbp_c_pos_coins_iha_endd_i2,PBPC
pbp_c_pos_coins_iha_pct_i3,PBPC
pbp_c_pos_coins_iha_bgnd_i3,PBPC
pbp_c_pos_coins_iha_endd_i3,PBPC
pbp_c_pos_copay_ihs_yn,PBPC
pbp_c_pos_copay_iha_mc_cost_yn,PBPC
pbp_c_pos_copay_iha_intrvl_num,PBPC
pbp_c_pos_copay_iha_ps_amt,PBPC
pbp_c_pos_copay_iha_amt_i1,PBPC
pbp_c_pos_copay_iha_bgnd_i1,PBPC
pbp_c_pos_copay_iha_endd_i1,PBPC
pbp_c_pos_copay_iha_amt_i2,PBPC
pbp_c_pos_copay_iha_bgnd_i2,PBPC
pbp_c_pos_copay_iha_endd_i2,PBPC
pbp_c_pos_copay_iha_amt_i3,PBPC
pbp_c_pos_copay_iha_bgnd_i3,PBPC
pbp_c_pos_copay_iha_endd_i3,PBPC
pbp_b2_bendesc_yn,PBPB2
pbp_b2_cost_vary_tiers_yn,PBPB2
pbp_b2_cost_vary_tier_num,PBPB2
pbp_b2_cost_vary_low_tier,PBPB2
pbp_b2_coins_yn,PBPB2
pbp_b2_copay_yn,PBPB2
pbp_b2_mc_coins_cstshr_yn_t1,PBPB2
pbp_b2_coins_mcs_pct_t1,PBPB2
pbp_b2_coins_mcs_int_num_t1,PBPB2
pbp_b2_coins_mcs_pct_int1_t1,PBPB2
pbp_b2_coins_mcs_bgnd_int1_t1,PBPB2
pbp_b2_coins_mcs_endd_int1_t1,PBPB2
pbp_b2_coins_mcs_pct_int2_t1,PBPB2
pbp_b2_coins_mcs_bgnd_int2_t1,PBPB2
pbp_b2_coins_mcs_endd_int2_t1,PBPB2
pbp_b2_coins_mcs_pct_int3_t1,PBPB2
pbp_b2_coins_mcs_bgnd_int3_t1,PBPB2
pbp_b2_coins_mcs_endd_int3_t1,PBPB2
pbp_b2_mc_copay_cstshr_yn_t1,PBPB2
pbp_b2_copay_mcs_amt_t1,PBPB2
pbp_b2_copay_mcs_int_num_t1,PBPB2
pbp_b2_copay_mcs_amt_int1_t1,PBPB2
pbp_b2_copay_mcs_bgnd_int1_t1,PBPB2
pbp_b2_copay_mcs_endd_int1_t1,PBPB2
pbp_b2_copay_mcs_amt_int2_t1,PBPB2
pbp_b2_copay_mcs_bgnd_int2_t1,PBPB2
pbp_b2_copay_mcs_endd_int2_t1,PBPB2
pbp_b2_copay_mcs_amt_int3_t1,PBPB2
pbp_b2_copay_mcs_bgnd_int3_t1,PBPB2
pbp_b2_copay_mcs_endd_int3_t1,PBPB2
pbp_b2_copay_ad_intrvl_num_t1,PBPB2
pbp_b2_copay_ad_amt_int1_t1,PBPB2
pbp_b2_copay_ad_bgnd_int1_t1,PBPB2
pbp_b2_copay_ad_endd_int1_t1,PBPB2
pbp_b2_mc_coins_cstshr_yn_t2,PBPB2
pbp_b2_coins_mcs_pct_t2,PBPB2
pbp_b2_coins_mcs_int_num_t2,PBPB2
pbp_b2_coins_mcs_pct_int1_t2,PBPB2
pbp_b2_coins_mcs_bgnd_int1_t2,PBPB2
pbp_b2_coins_mcs_endd_int1_t2,PBPB2
pbp_b2_coins_mcs_pct_int2_t2,PBPB2
pbp_b2_coins_mcs_bgnd_int2_t2,PBPB2
pbp_b2_coins_mcs_endd_int2_t2,PBPB2
pbp_b2_coins_mcs_pct_int3_t2,PBPB2
pbp_b2_coins_mcs_bgnd_int3_t2,PBPB2
pbp_b2_coins_mcs_endd_int3_t2,PBPB2
pbp_b2_mc_copay_cstshr_yn_t2,PBPB2
pbp_b2_copay_mcs_amt_t2,PBPB2
pbp_b2_copay_mcs_int_num_t2,PBPB2
pbp_b2_copay_mcs_amt_int1_t2,PBPB2
pbp_b2_copay_mcs_bgnd_int1_t2,PBPB2
pbp_b2_copay_mcs_endd_int1_t2,PBPB2
pbp_b2_copay_mcs_amt_int2_t2,PBPB2
pbp_b2_copay_mcs_bgnd_int2_t2,PBPB2
pbp_b2_copay_mcs_endd_int2_t2,PBPB2
pbp_b2_copay_mcs_amt_int3_t2,PBPB2
pbp_b2_copay_mcs_bgnd_int3_t2,PBPB2
pbp_b2_copay_mcs_endd_int3_t2,PBPB2
pbp_b2_copay_ad_intrvl_num_t2,PBPB2
pbp_b2_copay_ad_amt_int1_t2,PBPB2
pbp_b2_copay_ad_bgnd_int1_t2,PBPB2
pbp_b2_copay_ad_endd_int1_t2,PBPB2
pbp_b2_ad_cost_vary_tiers_yn,PBPB2
pbp_b2_auth_yn,PBPB2
pbp_b2_refer_yn,PBPB2
pbp_b7d_copay_yn,PBPB7
pbp_b7d_copay_amt_mc_min,PBPB7
pbp_b7d_copay_amt_mc_max,PBPB7
pbp_b7d_coins_yn,PBPB7
pbp_b7d_coins_pct_mc_min,PBPB7
pbp_b7d_coins_pct_mc_max,PBPB7
pbp_c_oon_yn,PBPC
pbp_c_oon_outpt_coins_yn,PBPC_OON
pbp_c_oon_outpt_coins_min_pct,PBPC_OON
pbp_c_oon_outpt_coins_max_pct,PBPC_OON
pbp_c_oon_outpt_copay_yn,PBPC_OON
pbp_c_oon_outpt_copay_min_amt,PBPC_OON
pbp_c_oon_outpt_copay_max_amt,PBPC_OON
pbp_c_pos_outpt_coins_yn,PBPC_POS
pbp_c_pos_outpt_coins_min_pct,PBPC_POS
pbp_c_pos_outpt_coins_max_pct,PBPC_POS
pbp_c_pos_outpt_copay_yn,PBPC_POS
pbp_c_pos_outpt_copay_min_amt,PBPC_POS
pbp_c_pos_outpt_copay_max_amt,PBPC_POS
pbp_b16a_copay_cserv_sc_pov_yn,PBPB16
pbp_b16a_coins_cserv_sc_pov_yn,PBPB16
pbp_b16a_bendesc_yn,PBPB16
pbp_b16a_bendesc_ehc,PBPB16
pbp_b16a_coins_yn,PBPB16
pbp_b16a_coins_pct_oe,PBPB16
pbp_b16a_coins_pct_maxoe,PBPB16
pbp_b16a_copay_yn,PBPB16
pbp_b16a_copay_amt_oemin,PBPB16
pbp_b16a_copay_amt_oemax,PBPB16
pbp_b16a_maxplan_yn,PBPB16
pbp_b16a_maxplan_amt,PBPB16
pbp_b16a_coins_pct_pc,PBPB16
pbp_b16a_coins_pct_maxpc,PBPB16
pbp_b16a_copay_amt_pcmin,PBPB16
pbp_b16a_copay_amt_pcmax,PBPB16
pbp_b16a_coins_pct_ft,PBPB16
pbp_b16a_coins_pct_maxft,PBPB16
pbp_b16a_copay_amt_ftmin,PBPB16
pbp_b16a_copay_amt_ftmax,PBPB16
pbp_b8a_maxenr_yn,PBPB8
pbp_b8a_maxenr_amt,PBPB8
pbp_b8a_coins_yn,PBPB8
pbp_b8a_coins_ehc,PBPB8
pbp_b8a_coins_pct_dmc,PBPB8
pbp_b8a_coins_pct_dmc_max,PBPB8
pbp_b8a_copay_yn,PBPB8
pbp_b8a_copay_ehc,PBPB8
pbp_b8a_copay_min_dmc_amt,PBPB8
pbp_b8a_copay_max_dmc_amt,PBPB8
pbp_b8b_maxenr_yn,PBPB8
pbp_b8b_maxenr_amt,PBPB8
pbp_b8b_coins_yn,PBPB8
pbp_b8b_coins_ehc,PBPB8
pbp_b8b_coins_pct_drs,PBPB8
pbp_b8b_coins_pct_drs_max,PBPB8
pbp_b8b_copay_yn,PBPB8
pbp_b8b_copay_ehc,PBPB8
pbp_b8b_copay_amt_drs,PBPB8
pbp_b8b_copay_amt_drs_max,PBPB8
pbp_b8b_coins_pct_cmc,PBPB8
pbp_b8b_coins_pct_cmc_max,PBPB8
pbp_b8b_copay_mc_amt,PBPB8
pbp_b8b_copay_mc_amt_max,PBPB8
pbp_b4a_coins_yn,PBPB4
pbp_b4a_coins_pct_mc_min,PBPB4
pbp_b4a_coins_pct_mc_max,PBPB4
pbp_b4a_copay_yn,PBPB4
pbp_b4a_copay_amt_mc_min,PBPB4
pbp_b4a_copay_amt_mc_max,PBPB4
pbp_b4b_coins_yn,PBPB4
pbp_b4b_coins_pct_mc_min,PBPB4
pbp_b4b_coins_pct_mc_max,PBPB4
pbp_b4b_copay_yn,PBPB4
pbp_b4b_copay_amt_mc_min,PBPB4
pbp_b4b_copay_amt_mc_max,PBPB4
pbp_b14a_mc_prevent_attest,PBPB14
pbp_b10a_maxenr_yn,PBPB10
pbp_b10a_maxenr_gas_amt,PBPB10
pbp_b10a_coins_yn,PBPB10
pbp_b10a_coins_ehc,PBPB10
pbp_b10a_coins_gas_pct_min,PBPB10
pbp_b10a_coins_gas_pct_max,PBPB10
pbp_b10a_copay_yn,PBPB10
pbp_b10a_copay_ehc,PBPB10
pbp_b10a_copay_gas_amt_min,PBPB10
pbp_b10a_copay_gas_amt_max,PBPB10
pbp_b7c_coins_yn,PBPB7
pbp_b7c_coins_pct_mc_min,PBPB7
pbp_b7c_coins_pct_mc_max,PBPB7
pbp_b7c_copay_yn,PBPB7
pbp_b7c_copay_mc_amt_min,PBPB7
pbp_b7c_copay_mc_amt_max,PBPB7
pbp_b7i_coins_yn,PBPB7
pbp_b7i_coins_pct_mc_min,PBPB7
pbp_b7i_coins_pct_mc_max,PBPB7
pbp_b7i_copay_yn,PBPB7
pbp_b7i_copay_mc_amt_min,PBPB7
pbp_b7i_copay_mc_amt_max,PBPB7
pbp_b7e_maxenr_yn,PBPB7
pbp_b7e_maxenr_amt,PBPB7
pbp_b7e_coins_yn,PBPB7
pbp_b7e_coins_ehc,PBPB7
pbp_b7e_coins_mcgs_minpct,PBPB7
pbp_b7e_coins_mcgs_maxpct,PBPB7
pbp_b7e_copay_yn,PBPB7
pbp_b7e_copay_ehc,PBPB7
pbp_b7e_copay_mcgs_minamt,PBPB7
pbp_b7e_copay_mcgs_maxamt,PBPB7
pbp_b7e_coins_mcis_minpct,PBPB7
pbp_b7e_coins_mcis_maxpct,PBPB7
pbp_b7e_copay_mcis_minamt,PBPB7
pbp_b7e_copay_mcis_maxamt,PBPB7
pbp_b7h_maxenr_yn,PBPB7
pbp_b7h_maxenr_amt,PBPB7
pbp_b7h_coins_yn,PBPB7
pbp_b7h_coins_ehc,PBPB7
pbp_b7h_coins_mcgs_minpct,PBPB7
pbp_b7h_coins_mcgs_maxpct,PBPB7
pbp_b7h_copay_yn,PBPB7
pbp_b7h_copay_ehc,PBPB7
pbp_b7h_copay_mcgs_minamt,PBPB7
pbp_b7h_copay_mcgs_maxamt,PBPB7
pbp_b7h_coins_mcis_minpct,PBPB7
pbp_b7h_coins_mcis_maxpct,PBPB7
pbp_b7h_copay_mcis_minamt,PBPB7
pbp_b7h_copay_mcis_maxamt,PBPB7
pbp_b18a_bendesc_yn,PBPB18
pbp_b18a_bendesc_ehc,PBPB18
pbp_b18a_coins_yn,PBPB18
pbp_b18a_coins_ehc,PBPB18
pbp_b18a_coins_pct_rht,PBPB18
pbp_b18a_coins_pct_max_rht,PBPB18
pbp_b18a_copay_yn,PBPB18
pbp_b18a_copay_ehc,PBPB18
pbp_b18a_copay_amt_rht,PBPB18
pbp_b18a_copay_amt_max_rht,PBPB18
pbp_b18a_coins_pct_fha,PBPB18
pbp_b18a_coins_pct_max_fha,PBPB18
pbp_b18a_copay_amt_fha,PBPB18
pbp_b18a_copay_amt_max_fha,PBPB18
pbp_b18b_bendesc_yn,PBPB18
pbp_b18b_bendesc_ehc,PBPB18
pbp_b18b_coins_yn,PBPB18
pbp_b18b_coins_ehc,PBPB18
pbp_b18b_coins_pct_at_min,PBPB18
pbp_b18b_coins_pct_at_max,PBPB18
pbp_b18b_copay_yn,PBPB18
pbp_b18b_copay_ehc,PBPB18
pbp_b18b_copay_at_min_amt,PBPB18
pbp_b18b_copay_at_max_amt,PBPB18
pbp_b17b_bendesc_yn,PBPB17
pbp_b17b_bendesc_ehc,PBPB17
pbp_b17b_coins_yn,PBPB17
pbp_b17b_coins_ehc,PBPB17
pbp_b17b_coins_pct_cl_min,PBPB17
pbp_b17b_coins_pct_cl_max,PBPB17
pbp_b17b_copay_yn,PBPB17
pbp_b17b_copay_ehc,PBPB17
pbp_b17b_copay_amt_cl_min,PBPB17
pbp_b17b_copay_amt_cl_max,PBPB17
pbp_b17b_coins_pct_egs_min,PBPB17
pbp_b17b_coins_pct_egs_max,PBPB17
pbp_b17b_copay_amt_egs_min,PBPB17
pbp_b17b_copay_amt_egs_max,PBPB17
pbp_b17b_coins_pct_upg_min,PBPB17
pbp_b17b_coins_pct_upg_max,PBPB17
pbp_b17b_copay_amt_upg_min,PBPB17
pbp_b17b_copay_amt_upg_max,PBPB17
pbp_b17b_coins_pct_egf_min,PBPB17
pbp_b17b_coins_pct_egf_max,PBPB17
pbp_b17b_copay_amt_egf_min,PBPB17
pbp_b17b_copay_amt_egf_max,PBPB17
pbp_b17b_coins_pct_egl_min,PBPB17
pbp_b17b_coins_pct_egl_max,PBPB17
pbp_b17b_copay_amt_egl_min,PBPB17
pbp_b17b_copay_amt_egl_max,PBPB17
pbp_b17a_bendesc_yn,PBPB17
pbp_b17a_bendesc_ehc,PBPB17
pbp_b17a_coins_yn,PBPB17
pbp_b17a_coins_ehc,PBPB17
pbp_b17a_coins_pct_rex_min,PBPB17
pbp_b17a_coins_pct_rex_max,PBPB17
pbp_b17a_copay_yn,PBPB17
pbp_b17a_copay_ehc,PBPB17
pbp_b17a_copay_amt_rex_min,PBPB17
pbp_b17a_copay_amt_rex_max,PBPB17
mrx_b_coins_yn,PBPB15
mrx_b_coins_ehc,PBPB15
mrx_b_chemo_coins_min_pct,PBPB15
mrx_b_chemo_coins_max_pct,PBPB15
mrx_b_copay_yn,PBPB15
mrx_b_copay_ehc,PBPB15
mrx_b_chemo_copay_amt_min,PBPB15
mrx_b_chemo_copay_amt_max,PBPB15
mrx_b_coins_min_pct,PBPB15
mrx_b_coins_max_pct,PBPB15
mrx_b_copay_min_amt,PBPB15
mrx_b_copay_max_amt,PBPB15
mrx_b_ira_coins_yn,PBPB15
mrx_b_ira_coins_min_pct,PBPB15
mrx_b_ira_coins_max_pct,PBPB15
mrx_b_ira_copay_yn,PBPB15
mrx_b_ira_copay_amt_min,PBPB15
mrx_b_ira_copay_amt_max,PBPB15
